sample, feature, aX, aY, aZ, gX, gY, gZ
29, Max, -0.0575,-0.2572,-0.9725,1.5259,2.1362,6.5308
29, PSD, 3.3451,59.7094,829.8271,744.2815,2029.2819,34260.5742
30, Mean, -0.0618,-0.2615,-0.9745,1.0090,1.4982,6.2695
30, Std, 0.0007,0.0008,0.0005,0.3321,0.3814,0.1413
30, RMS, 0.0618,0.2615,0.9745,1.0622,1.5460,6.2710
30, Min, -0.0636,-0.2631,-0.9758,0.1831,0.7935,5.9204
30, Max, -0.0599,-0.2596,-0.9735,1.5869,2.1973,6.5918
30, PSD, 3.3380,59.7327,829.3308,797.6390,2217.4875,34508.9844
31, Mean, -0.0619,-0.2615,-0.9744,0.9360,1.5154,6.2389
31, Std, 0.0019,0.0018,0.0035,0.2654,0.2704,0.1373
31, RMS, 0.0619,0.2615,0.9745,0.9729,1.5393,6.2404
31, Min, -0.0665,-0.2667,-0.9969,0.3662,0.8545,5.7373
31, Max, -0.0583,-0.2573,-0.9578,1.4648,2.1362,6.5918
31, PSD, 3.3497,59.7434,829.3417,888.8845,1866.2061,34078.4531
32, Mean, -0.0616,-0.2616,-0.9743,0.8626,1.4219,6.1564
32, Std, 0.0006,0.0007,0.0006,0.2408,0.2795,0.1564
32, RMS, 0.0616,0.2616,0.9743,0.8956,1.4491,6.1584
32, Min, -0.0636,-0.2628,-0.9758,0.3052,0.7935,5.7983
32, Max, -0.0603,-0.2596,-0.9724,1.4648,2.0752,6.4697
32, PSD, 3.3251,59.8338,829.1807,617.4175,1781.9033,32869.1250
33, Mean, -0.0615,-0.2617,-0.9741,0.8993,1.4729,6.2118
33, Std, 0.0007,0.0007,0.0006,0.1153,0.1316,0.0941
33, RMS, 0.0615,0.2617,0.9741,0.9067,1.4788,6.2125
33, Min, -0.0632,-0.2632,-0.9756,0.4883,1.1597,5.9814
33, Max, -0.0597,-0.2596,-0.9725,1.2207,1.8921,6.4087
33, PSD, 3.3067,59.7700,828.8320,718.9709,1975.8831,33791.2148
34, Mean, -0.0616,-0.2617,-0.9742,0.8988,1.4782,6.2203
34, Std, 0.0006,0.0005,0.0005,0.1081,0.1100,0.0909
34, RMS, 0.0616,0.2617,0.9742,0.9053,1.4823,6.2210
34, Min, -0.0629,-0.2628,-0.9755,0.5493,1.1597,5.9814
34, Max, -0.0603,-0.2601,-0.9733,1.1597,1.7090,6.4087
34, PSD, 3.3183,59.8253,829.1957,666.2484,1972.3599,33796.1680
35, Mean, -0.0616,-0.2617,-0.9742,0.9241,1.4176,6.1898
35, Std, 0.0008,0.0006,0.0006,0.1803,0.2260,0.1045
35, RMS, 0.0616,0.2617,0.9742,0.9415,1.4355,6.1907
35, Min, -0.0638,-0.2634,-0.9758,0.3662,0.7935,5.8594
35, Max, -0.0593,-0.2599,-0.9730,1.3428,2.0752,6.4697
35, PSD, 3.2929,59.7628,828.6497,713.6827,2164.3896,33492.5820
36, Mean, -0.0616,-0.2617,-0.9743,0.9618,1.4515,6.2294
36, Std, 0.0006,0.0006,0.0006,0.2956,0.3009,0.1473
36, RMS, 0.0616,0.2617,0.9743,1.0062,1.4824,6.2311
36, Min, -0.0630,-0.2627,-0.9758,0.3052,0.7935,5.9204
36, Max, -0.0601,-0.2604,-0.9727,1.5259,2.1362,6.5308
36, PSD, 3.3203,59.7558,829.2336,837.0223,1908.2773,33914.6602
37, Mean, -0.0616,-0.2618,-0.9742,0.9432,1.4720,6.2418
37, Std, 0.0006,0.0006,0.0007,0.2484,0.2827,0.1389
37, RMS, 0.0616,0.2618,0.9742,0.9753,1.4989,6.2433
37, Min, -0.0631,-0.2633,-0.9771,0.1831,0.8545,5.9204
37, Max, -0.0598,-0.2604,-0.9725,1.5869,2.1362,6.6528
37, PSD, 3.3048,59.9217,829.0616,742.1707,1845.1360,33549.7930
38, Mean, -0.0617,-0.2617,-0.9742,0.8793,1.4520,6.1703
38, Std, 0.0009,0.0006,0.0006,0.3272,0.3461,0.1601
38, RMS, 0.0617,0.2617,0.9742,0.9382,1.4926,6.1723
38, Min, -0.0634,-0.2632,-0.9758,0.1831,0.6714,5.7373
38, Max, -0.0601,-0.2599,-0.9729,1.5259,2.1362,6.5308
38, PSD, 3.3013,59.7153,828.7507,386.6460,2353.5959,32548.9922
39, Mean, -0.0615,-0.2617,-0.9741,0.9365,1.5335,6.2327
39, Std, 0.0006,0.0005,0.0005,0.2646,0.2821,0.1504
39, RMS, 0.0615,0.2617,0.9741,0.9732,1.5592,6.2346
39, Min, -0.0630,-0.2628,-0.9757,0.3052,0.8545,5.9204
39, Max, -0.0596,-0.2604,-0.9724,1.5869,2.1973,6.5918
39, PSD, 3.2981,59.7751,828.6755,872.6732,2366.9370,34913.0977
40, Mean, -0.0618,-0.2616,-0.9742,0.9117,1.5087,6.2056
40, Std, 0.0006,0.0005,0.0006,0.2460,0.2571,0.1311
40, RMS, 0.0618,0.2616,0.9742,0.9443,1.5305,6.2069
40, Min, -0.0631,-0.2629,-0.9760,0.2441,0.9766,5.7373
40, Max, -0.0601,-0.2599,-0.9727,1.5869,2.1362,6.4697
