sample, feature, aX, aY, aZ, gX, gY, gZ
18, PSD, 21.5386,340.8790,106.6374,1431029.5000,5810454.5000,4644979.0000
19, Mean, -0.1205,0.9892,0.1614,7.8349,5.0640,14.6189
19, Std, 0.0820,0.2826,0.2414,36.2953,51.6293,51.0743
19, RMS, 0.1457,1.0287,0.2904,37.1314,51.8771,53.1253
19, Min, -0.2866,0.5845,-0.2638,-55.7861,-78.7354,-63.6597
19, Max, 0.0565,1.4821,0.7490,64.4531,99.8535,100.9521
19, PSD, 46.2631,543.6332,151.6279,3640118.7500,4979257.0000,5546673.0000
20, Mean, -0.0692,1.0197,0.1428,6.6395,6.9642,5.2981
20, Std, 0.0640,0.3675,0.2674,34.0409,53.3885,54.7596
20, RMS, 0.0943,1.0839,0.3031,34.6823,53.8408,55.0153
20, Min, -0.1807,0.5031,-0.3033,-51.3916,-87.0972,-75.2563
20, Max, 0.0912,1.7434,0.6266,65.4907,84.1064,91.7969
20, PSD, 18.3619,195.8729,129.3607,3211079.7500,5766844.5000,5894179.0000
21, Mean, -0.0349,0.9741,0.0735,-15.3341,-6.2666,2.8934
21, Std, 0.1074,0.3388,0.4374,23.5146,64.1118,64.5007
21, RMS, 0.1130,1.0313,0.4435,28.0727,64.4173,64.5656
21, Min, -0.2872,0.4303,-0.6376,-76.1719,-110.1685,-111.2061
21, Max, 0.1582,1.4595,0.7592,49.0112,108.7646,99.6704
21, PSD, 12.5768,229.8236,381.4245,288371.2187,9259871.0000,10037833.0000
22, Mean, 0.0416,1.0429,-0.0092,-9.5210,-4.3783,2.6059
22, Std, 0.0933,0.1973,0.3141,11.4106,43.0926,47.8932
22, RMS, 0.1022,1.0614,0.3142,14.8611,43.3145,47.9641
22, Min, -0.1459,0.6344,-0.4595,-46.9360,-79.5898,-64.0869
22, Max, 0.2400,1.3455,0.4907,9.0942,59.7534,74.1577
22, PSD, 29.9416,1429.8973,152.3790,501514.7187,5162029.0000,4301734.0000
23, Mean, -0.0180,0.9394,-0.0024,-7.1073,8.7757,17.2200
23, Std, 0.1096,0.2029,0.2624,12.1842,48.7426,36.9235
23, RMS, 0.1110,0.9610,0.2624,14.1056,49.5263,40.7416
23, Min, -0.1873,0.6647,-0.3616,-33.9355,-83.3740,-47.2412
23, Max, 0.2108,1.2413,0.5458,15.5029,68.0542,68.9087
23, PSD, 19.8971,487.4207,121.8059,168277.2031,3784831.2500,3710669.2500
24, Mean, -0.0119,0.9640,0.1606,-4.1780,4.4398,-5.8918
24, Std, 0.1024,0.2485,0.2346,27.7128,46.6480,35.7623
24, RMS, 0.1030,0.9956,0.2844,28.0259,46.8588,36.2444
24, Min, -0.1344,0.6208,-0.2173,-179.0161,-85.0220,-61.7065
24, Max, 0.5336,2.3132,0.5498,106.9946,64.6362,60.7300
24, PSD, 12.2558,875.1877,239.2124,161081.9844,4024522.5000,3005659.2500
25, Mean, 0.0907,1.0735,0.1212,-5.8031,-15.3046,2.7313
25, Std, 0.1077,0.1218,0.2064,16.5196,46.1106,41.8802
25, RMS, 0.1407,1.0804,0.2394,17.5092,48.5841,41.9692
25, Min, -0.2196,0.7380,-0.2039,-74.8291,-94.1162,-69.0308
25, Max, 0.5334,1.6256,0.4447,60.1807,43.9453,60.2417
25, PSD, 25.9056,1100.5304,96.3019,163477.9375,7699968.0000,1786289.0000
26, Mean, 0.0348,0.9530,-0.0486,-8.6770,6.1421,22.6669
26, Std, 0.1350,0.2099,0.1976,9.1622,56.2102,34.3988
26, RMS, 0.1394,0.9759,0.2035,12.6189,56.5448,41.1955
26, Min, -0.2434,0.5486,-0.3391,-37.9028,-82.8247,-47.3633
26, Max, 0.3094,1.1863,0.4066,8.9111,82.5806,70.0684
26, PSD, 22.0467,1116.1237,75.6608,226882.4688,5767696.0000,4129551.5000
27, Mean, -0.0439,0.9201,0.1750,-6.5413,20.6537,0.6137
27, Std, 0.1053,0.1834,0.1942,10.2731,26.5229,37.5174
27, RMS, 0.1141,0.9382,0.2614,12.1789,33.6160,37.5224
27, Min, -0.2195,0.5924,-0.1422,-29.6631,-45.6543,-51.8188
27, Max, 0.2347,1.1915,0.4844,11.4136,57.0679,54.3823
27, PSD, 31.6672,447.6161,125.1859,67343.9766,2824589.5000,2390003.2500
28, Mean, -0.0754,0.9392,0.2050,-7.2546,4.3292,-13.5121
28, Std, 0.1557,0.2150,0.1662,15.6213,44.7265,32.3097
28, RMS, 0.1730,0.9635,0.2639,17.2237,44.9356,35.0214
