sample, feature, aX, aY, aZ, gX, gY, gZ
19, RMS, 0.1743,0.9833,0.1541,22.4720,14.1177,68.8575
19, Min, -0.1418,0.3766,-0.3081,-38.6353,-27.7710,-101.2573
19, Max, 0.3480,1.7126,0.0438,62.8052,20.4468,102.1729
19, PSD, 41.9486,1452.0778,7.1844,574610.0000,154280.0625,7823346.5000
20, Mean, 0.1245,0.8582,-0.1620,-2.0652,3.9515,15.9502
20, Std, 0.2107,0.4572,0.0613,24.8244,6.1835,75.5276
20, RMS, 0.2447,0.9724,0.1732,24.9101,7.3383,77.1935
20, Min, -0.3556,0.2321,-0.3125,-47.2412,-9.7656,-146.8506
20, Max, 0.5055,1.8093,-0.0109,45.2881,15.6250,104.1260
20, PSD, 123.6712,1838.8086,24.5464,1021348.9375,81136.8906,13162342.0000
21, Mean, 0.2359,1.0965,-0.1573,-5.1527,4.0793,16.8104
21, Std, 0.2126,0.5653,0.0995,26.0217,8.8783,88.7459
21, RMS, 0.3176,1.2336,0.1861,26.5270,9.7707,90.3240
21, Min, -0.1566,0.2662,-0.3177,-45.1660,-17.8223,-126.2207
21, Max, 0.5544,2.1831,0.0751,53.8940,31.8604,127.1362
21, PSD, 76.9173,372.9929,14.2074,461775.3437,92324.6875,11487622.0000
22, Mean, 0.0491,0.8620,-0.1804,-2.1796,4.9901,9.2130
22, Std, 0.1223,0.4359,0.0777,19.2002,10.2450,66.1329
22, RMS, 0.1318,0.9659,0.1965,19.3235,11.3957,66.7716
22, Min, -0.1010,0.2823,-0.3762,-35.4004,-21.3623,-98.5107
22, Max, 0.3370,1.9094,0.0178,36.4990,24.9023,108.2764
22, PSD, 40.2434,1966.1859,13.8318,695080.6250,101996.4688,10065601.0000
23, Mean, 0.0330,1.0587,-0.1284,2.8319,3.4556,3.1123
23, Std, 0.0864,0.5142,0.0927,19.5724,9.6979,64.3230
23, RMS, 0.0925,1.1770,0.1584,19.7763,10.2952,64.3983
23, Min, -0.0822,0.2781,-0.2969,-33.0200,-11.6577,-96.1914
23, Max, 0.2058,2.0078,0.0822,32.4097,23.5596,105.2856
23, PSD, 9.3775,533.7899,19.8826,475690.3125,113283.1563,8380915.5000
24, Mean, 0.0725,0.8754,-0.1323,-1.3995,2.4929,17.6888
24, Std, 0.0893,0.5428,0.0811,19.3015,7.5617,65.2256
24, RMS, 0.1150,1.0301,0.1552,19.3521,7.9620,67.5816
24, Min, -0.0991,0.2068,-0.2974,-33.8135,-15.5640,-92.2852
24, Max, 0.2565,2.0135,0.0166,38.5742,20.9961,103.5767
24, PSD, 22.1661,2114.1106,8.2192,532429.8125,68417.9141,8837361.0000
25, Mean, 0.1151,1.0682,-0.2462,-4.1609,3.0222,1.0934
25, Std, 0.1345,0.4686,0.0825,14.9067,5.0613,75.3654
25, RMS, 0.1770,1.1665,0.2597,15.4765,5.8949,75.3733
25, Min, -0.1272,0.2738,-0.3922,-34.0576,-8.6060,-104.0649
25, Max, 0.3048,1.8396,-0.0394,23.8037,13.4277,115.7227
25, PSD, 42.0315,396.2325,23.3646,349054.5625,24420.3066,10337884.0000
26, Mean, 0.0841,0.9387,-0.2012,-1.6565,4.1966,28.4376
26, Std, 0.1603,0.4292,0.0751,15.5088,10.0665,77.0265
26, RMS, 0.1810,1.0321,0.2148,15.5970,10.9062,82.1083
26, Min, -0.1715,0.3396,-0.3557,-32.2266,-14.5874,-120.5444
26, Max, 0.3362,1.7930,-0.0034,36.9873,25.2686,120.1782
26, PSD, 60.1738,1385.3076,21.0217,189107.8281,130290.2109,10194000.0000
27, Mean, 0.0350,0.8386,-0.1955,1.6589,1.5497,3.6688
27, Std, 0.1577,0.4021,0.0774,20.3667,7.5503,75.2241
27, RMS, 0.1615,0.9300,0.2103,20.4341,7.7077,75.3135
27, Min, -0.1653,0.2521,-0.3772,-29.7241,-13.3667,-113.8916
27, Max, 0.3591,1.6486,-0.0652,40.8936,16.9678,114.1357
27, PSD, 74.9299,1931.3257,29.1208,259542.8906,86864.3438,8550372.0000
28, Mean, 0.1609,1.0565,-0.1840,-2.4204,2.5434,-9.2978
28, Std, 0.1860,0.4772,0.1182,21.8801,9.3901,75.5992
28, RMS, 0.2459,1.1593,0.2187,22.0136,9.7285,76.1688
28, Min, -0.1604,0.3060,-0.4691,-52.7344,-20.4468,-112.6099
28, Max, 0.4250,1.8334,0.0012,49.1943,35.0342,109.2529
28, PSD, 57.7206,315.0963,10.9899,705995.0625,47418.9219,9928140.0000
29, Mean, 0.1472,0.9748,-0.2016,-2.2945,2.8014,31.7903
29, Std, 0.2306,0.4046,0.0797,19.6868,8.5719,79.3124
29, RMS, 0.2736,1.0555,0.2168,19.8201,9.0181,85.4464
29, Min, -0.1758,0.3676,-0.4429,-38.5132,-22.5830,-132.8125
29, Max, 0.5740,1.6348,-0.0565,27.4658,21.4233,129.5166
29, PSD, 67.8579,819.4525,16.1652,494006.6250,104819.7188,10003805.0000
30, Mean, 0.0732,0.8422,-0.1605,5.5447,2.8763,-6.1698
30, Std, 0.2252,0.4287,0.1023,20.1410,4.8673,79.3800
30, RMS, 0.2368,0.9450,0.1903,20.8903,5.6537,79.6194
30, Min, -0.2312,0.3341,-0.3549,-33.0811,-9.9487,-133.6060
30, Max, 0.4016,1.7096,0.0570,45.2271,11.7187,110.3516
30, PSD, 145.5861,1952.4911,37.6865,320511.2500,30643.6445,11149303.0000
31, Mean, 0.0953,1.0602,-0.2786,-1.0686,4.1800,1.4057
31, Std, 0.1474,0.4587,0.0883,12.6126,6.5471,77.5021
31, RMS, 0.1756,1.1552,0.2923,12.6578,7.7677,77.5149
31, Min, -0.1848,0.2292,-0.4491,-18.6768,-12.6953,-126.4648
31, Max, 0.2771,1.7524,-0.0988,30.9448,21.0571,112.9150
31, PSD, 47.2063,411.2611,40.2183,254447.7344,77233.0391,10860603.0000
32, Mean, 0.0430,0.8374,-0.2137,2.3451,3.1300,-0.4940
32, Std, 0.1613,0.3946,0.1093,15.6561,6.2565,80.5106
32, RMS, 0.1669,0.9257,0.2400,15.8308,6.9958,80.5121
32, Min, -0.1886,0.3330,-0.4347,-22.0947,-15.2588,-147.2168
32, Max, 0.3768,1.6387,0.0067,35.5225,13.7939,111.2671
32, PSD, 73.6460,1841.7269,95.0374,131621.4531,54367.2891,10532844.0000
33, Mean, 0.0083,0.8947,-0.2188,-0.0076,2.7599,20.3881
33, Std, 0.1613,0.4401,0.1027,10.3336,8.9332,66.1070
33, RMS, 0.1615,0.9971,0.2417,10.3336,9.3499,69.1796
33, Min, -0.3279,0.2974,-0.3949,-19.1650,-21.5454,-105.3467
33, Max, 0.2439,1.7188,0.0258,23.8647,14.2822,100.6470
33, PSD, 33.7560,1473.0919,64.7173,137786.9063,89315.6250,9718032.0000
34, Mean, 0.0487,0.9901,-0.1880,-4.0226,3.5191,23.2906
34, Std, 0.1924,0.5125,0.0634,20.1889,9.9998,82.8993
34, RMS, 0.1984,1.1149,0.1984,20.5858,10.6009,86.1090
34, Min, -0.2664,0.2986,-0.3910,-34.3018,-22.8271,-166.5039
34, Max, 0.3760,1.8856,-0.0306,40.3442,30.2124,119.0186
34, PSD, 93.5973,854.4095,12.7337,746928.3750,154644.5313,16173818.0000
35, Mean, 0.1002,1.0960,-0.2086,2.0003,4.3683,-0.8769
35, Std, 0.1279,0.4818,0.0908,22.9008,7.8942,72.2836
35, RMS, 0.1625,1.1972,0.2275,22.9880,9.0222,72.2889
35, Min, -0.1373,0.2300,-0.3596,-30.3955,-9.4604,-109.0698
