sample, feature, aX, aY, aZ, gX, gY, gZ
25, PSD, 12.9966,885.2432,185.9159,48437.7383,4412960.0000,127816.1094
26, Mean, 0.0006,1.0097,-0.0387,1.3666,5.0282,2.6436
26, Std, 0.1355,0.1532,0.9483,14.9869,101.0633,24.5930
26, RMS, 0.1355,1.0213,0.9490,15.0491,101.1883,24.7346
26, Min, -0.3270,0.7253,-1.8597,-31.6772,-160.8276,-40.4053
26, Max, 0.2817,1.2496,1.4805,28.6255,131.6528,48.5229
26, PSD, 26.0182,634.1910,1812.7382,205804.5156,17389232.0000,1000063.7500
27, Mean, -0.0697,0.9825,0.0807,1.9088,2.1548,3.0694
27, Std, 0.0505,0.0503,0.3824,8.5099,51.1493,7.9758
27, RMS, 0.0861,0.9838,0.3908,8.7214,51.1947,8.5460
27, Min, -0.1990,0.8458,-0.7241,-19.8975,-59.0820,-11.7187
27, Max, 0.0103,1.0763,0.6636,18.0054,79.2236,16.9678
27, PSD, 12.7718,743.2497,392.7278,83773.3594,6300935.0000,206089.8594
28, Mean, -0.1315,0.9673,0.1334,-0.4001,4.2439,5.8823
28, Std, 0.0596,0.0674,0.3365,7.2737,51.5741,12.6665
28, RMS, 0.1444,0.9696,0.3620,7.2847,51.7484,13.9657
28, Min, -0.2600,0.8119,-0.5164,-15.8691,-70.9839,-12.2070
28, Max, -0.0100,1.0648,0.6266,15.8691,75.6226,26.7944
28, PSD, 36.0867,692.8314,363.7947,28197.0703,6166299.0000,580012.7500
29, Mean, -0.0605,0.9847,-0.0637,0.7744,-4.3950,3.3050
29, Std, 0.0875,0.0835,0.6340,13.6873,69.4986,15.5126
29, RMS, 0.1063,0.9882,0.6372,13.7092,69.6374,15.8608
29, Min, -0.2607,0.7961,-1.0137,-25.6958,-100.0977,-19.7754
29, Max, 0.1218,1.1061,1.0919,33.6304,104.5532,45.6543
29, PSD, 20.6029,677.6166,857.2424,184502.4219,9914474.0000,629919.1250
30, Mean, -0.0537,0.9924,-0.0824,-1.8673,13.9494,5.3487
30, Std, 0.0741,0.0870,0.6683,12.1318,73.5206,18.1082
